A	Coef.Sample.1 - Sample.2	t.Sample.1 - Sample.2	p.value.Sample.1 - Sample.2	p.value.adj.Sample.1 - Sample.2	F	F.p.value
ZNF621	8.1710777	0.372967	0.7537062	0.453256718	0.57070545694	6.3212469	2.14e-07
RRP9	8.5437922	-0.27478281	-0.7536864	0.4532685523	0.57070545694	0.4364972	0.9349091236
ZNF446	7.6256823	0.30477252	0.7536731	0.4532764996	0.57070545694	1.4971942	0.149138877
DDX20	9.6172328	-0.21905164	-0.7532663	0.4535194541	0.5709657413	2.4510821	0.0108637579
CXorf40B	8.2896086	-0.13336937	-0.7526894	0.4538641471	0.57135405929	4.8607782	1.05941e-05
NXT1	9.0032425	-0.16358061	-0.752102	0.4542152997	0.57175044636	1.8469404	0.0596461154
SMYD4	8.9496809	0.36244122	0.7518769	0.4543498822	0.57187418086	7.7871769	5.7e-09
LAPTM5	15.8931973	-0.14462558	-0.7516802	0.4544675423	0.57197659778	11.4008923	0
BCL2L1	10.6726556	-0.15157636	-0.751315	0.4546860205	0.57220587426	4.5535133	2.49559e-05
C6orf52	3.3205077	-0.3107521	-0.7512448	0.4547279899	0.57221300186	2.17917	0.0236682962
ACLY	11.7311781	-0.14501131	-0.7508216	0.4549811988	0.57245898663	2.2377893	0.0200364358
DNAJC17	9.369684	0.16302523	0.7507967	0.4549961123	0.57245898663	5.6940452	1.1036e-06
SMAD5.AS1	2.365893	0.35627311	0.7502587	0.4553181922	0.57281848876	1.3430017	0.2170907496
CEP83	7.5992243	0.23242777	0.749705	0.4556497778	0.57314154193	0.8243799	0.6161095214
PPAN.P2RY11	10.2182044	-0.16301839	-0.7496062	0.4557089801	0.57314154193	1.569988	0.1240489785
RGS6	2.9969607	0.4079459	0.7495692	0.455731118	0.57314154193	23.6506339	0
NR2C2AP	8.788429	-0.16516192	-0.7495301	0.4557545564	0.57314154193	4.3498361	4.43189e-05
HSPA2	4.3238069	0.54979917	0.7495263	0.4557568013	0.57314154193	2.6796959	0.005596152
PFDN2	9.3585333	-0.16652449	-0.7493815	0.455843574	0.57320492822	6.1060032	3.735e-07
TWNK	7.5682262	-0.14331581	-0.7492982	0.4558934785	0.57322194766	2.7784793	0.0041955663
UTY	5.350797	-0.8814083	-0.7490492	0.4560427073	0.57336384098	1.3879071	0.1950478584
SELENOM	6.962978	-0.2631542	-0.7489568	0.4560980625	0.57338769743	9.7170368	1e-10
RNF216	10.9157344	0.20813742	0.7487327	0.4562323835	0.57351081489	3.2291614	0.0011234711
TAF1	8.7634576	0.33773007	0.7483882	0.456438933	0.57372470077	5.2425617	3.7157e-06
NPLOC4	10.8564297	-0.22939732	-0.7480117	0.456664699	0.57394176897	2.8416208	0.0034890595
LIN9	6.4297542	-0.30657862	-0.7479788	0.4566844569	0.57394176897	4.2371529	6.10198e-05
NUP54	9.7199996	-0.27286821	-0.7475998	0.4569118001	0.5741817	2.8095791	0.0038313893
BIVM.ERCC5	10.619072	0.1638428	0.7469832	0.4572818079	0.57460085896	0.986835	0.4655117004
MPL	2.4055504	0.25946359	0.7468732	0.4573478276	0.57463800309	6.6773215	8.63e-08
NELFA	9.4986589	0.25275165	0.746643	0.457485989	0.57476577697	0.9913673	0.4615565274
RAB30	6.0165326	0.33542272	0.7449926	0.4584774532	0.57596549812	5.2992035	3.186e-06
EDRF1.AS1	4.9090188	0.31366802	0.7446551	0.4586803637	0.57617448094	4.4040979	3.80133e-05
BLM	7.611286	-0.40708755	-0.7440239	0.4590599526	0.5766053485	3.5858997	0.000397221
HSH2D	6.2675825	-0.33368654	-0.7439225	0.4591209946	0.57663606634	27.0921191	0
EXOC2	10.1782461	-0.20395424	-0.7434321	0.4594160365	0.57696064955	1.4443584	0.1700222823
LARS	11.338056	-0.11432023	-0.7430623	0.4596386478	0.57719422575	7.722595	6.6e-09
WDR44	9.4994813	-0.26606445	-0.7428255	0.4597811804	0.57732721357	0.8209664	0.619391458
PRPSAP2	9.130349	0.11938907	0.7423662	0.4600577973	0.57762853053	2.9835029	0.002304401
PAPLN	6.2166669	-0.26720372	-0.7420797	0.4602303593	0.57779916301	34.5194859	0
CSNK2A2	9.0833617	-0.20220288	-0.7415946	0.4605226294	0.57812004482	1.3063117	0.2365765881
CAMK1G	2.3423719	0.44209499	0.7415275	0.460563123	0.57812483124	2.3307233	0.0153617634
CCDC149	6.9753672	-0.34918712	-0.7414349	0.4606188777	0.57814877216	6.9307202	4.57e-08
ACSM4	2.3017835	-0.32994352	-0.7412485	0.4607312846	0.5782438109	4.9400518	8.5095e-06
GHET1	2.940788	-0.37948807	-0.7411704	0.4607783585	0.57825090183	2.4611728	0.0105516598
RNF212B	3.2680949	0.31426367	0.7411174	0.460810312	0.57825090183	1.4047622	0.187270171
KCNE5	2.3111071	-0.40663434	-0.7407431	0.461035992	0.57848803997	5.360768	2.6968e-06
TMEM120B	9.6441977	0.16308189	0.7406063	0.461118449	0.5785041423	8.0862818	2.8e-09
MED30	8.758182	-0.12944631	-0.7406001	0.4611222346	0.5785041423	9.6810663	1e-10
SMIM14	10.3905392	-0.14620209	-0.7402954	0.4613060161	0.57868864372	4.3112739	4.94364e-05
IQCD	5.0090357	0.3734713	0.7401965	0.4613656364	0.57868966427	3.581908	0.000401853
NOX1	2.80539	-0.2938859	-0.740111	0.4614172211	0.57868966427	0.9210899	0.5246624351
FAM161B	8.267472	-0.19121589	-0.7400881	0.4614310474	0.57868966427	0.5038966	0.8952993875
TTC39A	3.1766075	-0.44795399	-0.7400506	0.4614536959	0.57868966427	3.4138538	0.0006553018
CBR4	8.9054221	-0.15699635	-0.7399046	0.4615417787	0.57875407547	5.6804752	1.1442e-06
CYB5D2	8.7927736	-0.15415458	-0.7391735	0.4619830488	0.5792613232	2.455116	0.0107379181
CIDECP	7.881386	-0.26873358	-0.7384688	0.4624085908	0.5797487709	4.2884118	5.27494e-05
ZNF664	8.6974995	0.20628235	0.7381944	0.4625743488	0.57991046061	4.89204	9.7162e-06
EFCAB10	6.3272785	0.23557866	0.7380759	0.4626459435	0.57992135315	2.4989289	0.0094601926
MOSPD3	8.4886963	-0.14705819	-0.7380582	0.4626566268	0.57992135315	20.3418927	0
TEFM	8.8756999	-0.23153293	-0.7377185	0.4628619427	0.58013257085	3.4829623	0.0005358189
PPM1L	8.4335881	0.33955983	0.7375766	0.4629477176	0.58019393907	0.9561884	0.4926899349
RPSAP58	6.3470234	-0.20658717	-0.7373211	0.4631021326	0.58031366537	7.6384663	8.1e-09
DOK1	11.0750148	-0.14397294	-0.7372657	0.4631356711	0.58031366537	7.0430071	3.46e-08
YIPF6	10.3036737	-0.19636393	-0.7372358	0.4631537083	0.58031366537	4.5810958	2.30974e-05
NUP98	10.8436391	-0.27989421	-0.7369158	0.4633472174	0.58050997559	1.367029	0.2050540482
ATG2B	9.0037152	0.22737659	0.7362943	0.4637231394	0.58093477473	1.3645824	0.206253973
MYO19	9.2487992	0.1328284	0.7362316	0.4637611038	0.58093615937	7.0781898	3.17e-08
PDCD4.AS1	6.0904844	0.30837706	0.7359961	0.4639035878	0.58106846126	2.5919251	0.0072239821
TXNDC15	9.5169031	-0.20800857	-0.7356113	0.4641364802	0.58131397523	2.2554583	0.0190522079
RB1	12.7307533	-0.16541808	-0.7353046	0.4643221809	0.5814857903	9.1927262	2e-10
ZFAT.AS1	3.4268078	-0.31437818	-0.7352628	0.4643474498	0.5814857903	1.5963698	0.115926389
TBC1D24	7.5532227	-0.24891645	-0.7351656	0.4644063492	0.58151334475	1.3172175	0.230642914
EIF2AK2	10.1829798	-0.18717776	-0.7350192	0.464494969	0.58157810662	2.0473449	0.0343084202
ZNF252P	8.5483289	0.20057684	0.7347886	0.4646346414	0.58169989976	3.5578191	0.0004309847
CD247	2.5817436	-0.38092687	-0.7347367	0.4646660579	0.58169989976	10.5327782	0
NOG	1.9319152	0.38869	0.7345115	0.4648025285	0.58182285003	6.1621909	3.227e-07
SH3PXD2A	7.8685419	0.39995481	0.7344169	0.4648598329	0.58182285003	10.3428825	0
SLC38A10	12.1799645	0.18390705	0.7343918	0.4648750175	0.58182285003	7.0998012	3.01e-08
FGF14.AS2	3.609218	-0.40844986	-0.7343133	0.4649225864	0.58183618258	1.2861873	0.2478454928
AP4B1.AS1	7.5826207	-0.30983972	-0.7336608	0.4653180349	0.58228483903	0.593013	0.8291634053
BLCAP	10.7977154	0.08545453	0.7333925	0.465480673	0.58244211555	20.7728198	0
ADARB1	5.7203492	0.42029727	0.7333106	0.4655303251	0.58245800226	5.4388656	2.1845e-06
GHDC	9.7894335	-0.29470785	-0.7331909	0.4656029341	0.58250260709	2.7215411	0.0049537007
C2CD3	8.7262253	0.25186166	0.7326699	0.4659189697	0.5828517249	1.4902466	0.1517512993
ETV3	7.8760416	-0.3679858	-0.7324144	0.4660739308	0.58299930345	4.8050691	1.23637e-05
CCDC47	11.8894133	-0.13903224	-0.7323321	0.4661238702	0.58301550024	11.9377302	0
ZBTB34	9.2319063	0.31381555	0.7322064	0.4662001652	0.5830417832	2.3183656	0.0159157553
ARMC8	10.5642577	-0.12396503	-0.7321756	0.466218869	0.5830417832	2.3462196	0.0146936409
COLEC12	7.5633807	0.41686839	0.7318505	0.4664161509	0.58324222102	4.8563521	1.07248e-05
WDR20	9.0269182	-0.13154937	-0.7313076	0.4667457678	0.58360809564	3.439108	0.0006088092
NUP205	9.8576292	-0.29190134	-0.7311474	0.4668430706	0.5836834551	4.2006234	6.77057e-05
ZNF347	6.9603576	0.29603336	0.7308824	0.4670040115	0.58383836165	12.2782852	0
ABCC11	5.0727497	0.32154146	0.7306668	0.467134985	0.58395578195	1.0319617	0.4269289826
CCDC59	8.6378719	-0.17797477	-0.730394	0.4673007706	0.58411669808	1.0519599	0.4104266826
TMEM45B	3.8063374	-0.45090032	-0.7299677	0.4675598595	0.58439420662	17.4702897	0
CDC7	6.6919445	0.42933211	0.72972	0.4677104137	0.58453602654	1.3108645	0.2340847542
SLC7A5	9.4149227	0.35157235	0.7294812	0.4678555893	0.58467110241	5.2676847	3.4705e-06
ATP1B1	10.1014009	-0.34061782	-0.7292681	0.4679852276	0.58478674162	7.1857636	2.43e-08
RUSC2	8.5441932	0.36417257	0.7289387	0.4681855326	0.58499065953	1.5641079	0.1259271164
IRF3	10.0410143	0.22486293	0.7287975	0.4682714623	0.58505164624	0.7059041	0.7293718697
RPLP0P2	2.7235005	-0.37249653	-0.7286215	0.4683785643	0.5851390736	6.0294855	4.559e-07
MPPED2	3.7475864	0.41898754	0.7285327	0.4684325759	0.58516016719	5.6608373	1.2056e-06
PTPN18	12.0766098	-0.13788309	-0.7280125	0.4687491445	0.58546339552	5.848911	7.324e-07
NELFCD	10.5931198	-0.23320863	-0.7280118	0.468749609	0.58546339552	0.9340203	0.5127869101
RFT1	10.3130397	0.15071784	0.7276883	0.4689465099	0.585649698	8.201211	2.1e-09
THRB	3.8799305	0.55066098	0.7276447	0.4689730879	0.585649698	1.7240453	0.0829954151
PMPCA	10.4753836	-0.17439698	-0.7274245	0.4691071822	0.58577074151	0.584948	0.8357014687
FAM173A	7.5519945	0.31229829	0.7272871	0.4691908319	0.58582878091	5.2322812	3.821e-06
LINS1	8.630898	0.24465496	0.7272117	0.4692367949	0.58583975958	4.7105098	1.60844e-05
C1orf220	3.0704329	0.3439298	0.7270117	0.4693586042	0.5859454226	6.0466188	4.36e-07
UBXN4	11.9571588	-0.09480109	-0.7268432	0.4694612508	0.58598618286	3.2447773	0.0010733591
DGUOK.AS1	6.8949676	0.15694316	0.726836	0.4694656133	0.58598618286	5.5944061	1.4393e-06
BTBD11	2.8222796	-0.40766138	-0.7265699	0.4696278037	0.58612100081	17.095789	0
HILPDA	7.3391781	-0.2706843	-0.7265367	0.4696479994	0.58612100081	1.3313444	0.2231354098
EPOP	4.1081639	-0.40217977	-0.7263879	0.4697386621	0.58615032371	7.0490749	3.41e-08
TADA2A	8.2282931	0.29397741	0.7263761	0.4697458752	0.58615032371	4.8782761	1.00932e-05
RYBP	8.6593437	0.2448958	0.7261208	0.4699014727	0.5862980614	3.0683403	0.0017979769
NSUN2	10.4941454	-0.23603296	-0.7259916	0.4699802752	0.58634996577	1.6363546	0.104523062
ITFG2	9.4137071	-0.26433198	-0.7258399	0.4700727323	0.58641889619	7.7378354	6.4e-09
ZNF654	8.6857445	-0.33244964	-0.7254537	0.4703082437	0.58666626273	4.0205044	0.0001132847
TAB1	8.1685324	0.22279371	0.7251545	0.470490736	0.58682207256	2.0437001	0.0346598092
LINC01191	1.8085055	-0.28634843	-0.7251268	0.4705076157	0.58682207256	2.6794071	0.0056008604
ZSCAN5B	1.6384718	0.27796143	0.7246706	0.4707859422	0.58707060489	2.4085474	0.0122820323
LYSMD2	8.4308575	0.2762646	0.7245533	0.4708575471	0.58707060489	6.7654466	6.91e-08
BCDIN3D.AS1	6.7485201	-0.29423087	-0.7245293	0.4708721661	0.58707060489	3.3204164	0.000860615
ZFAND2A	8.7619468	0.19047554	0.724509	0.4708845639	0.58707060489	1.9556762	0.0442691634
ZKSCAN5	8.7284811	0.27465265	0.724495	0.4708931278	0.58707060489	3.020913	0.0020655445
GNGT2	8.532349	-0.20599253	-0.7240742	0.4711499762	0.5873208225	2.0647032	0.0326812464
PLD3	14.4059969	0.1560341	0.7240278	0.4711782747	0.5873208225	12.4855683	0
BAIAP2L2	2.8526997	-0.37974671	-0.723983	0.4712056215	0.5873208225	2.961047	0.0024608327
ELOVL3	2.5844425	-0.39011861	-0.7237687	0.4713364957	0.58743749079	13.4287829	0
HNRNPAB	10.5628479	0.16253462	0.7236506	0.4714085809	0.58745555698	1.3059812	0.2367583227
TBC1D3L	2.6044537	0.25175556	0.7236229	0.4714255367	0.58745555698	3.5564415	0.0004327136
TMEM177	6.8523799	0.23394246	0.7234931	0.4715047854	0.58750786016	2.4331245	0.0114417635
LINC02139	2.3813813	0.29014704	0.7234278	0.4715446558	0.58751109248	3.8625429	0.000178393
INPP5J	3.0438571	0.52506801	0.7233384	0.4715992886	0.58753271581	2.0532737	0.0337441056
PDCD2	9.2099984	-0.16848058	-0.7232513	0.471652496	0.58755255999	4.9933187	7.3478e-06
PPP3CB.AS1	7.1812678	-0.2957032	-0.7227883	0.4719353228	0.58780415007	2.9394955	0.0026209254
DNAJC11	10.4755231	-0.17017972	-0.7227599	0.4719526698	0.58780415007	1.153276	0.3329842866
KLHL6	10.2701771	-0.34781308	-0.7227376	0.4719663422	0.58780415007	4.8738591	1.02173e-05
MTHFSD	8.5974944	0.33194646	0.7222982	0.4722348801	0.58809212584	0.9901229	0.4626407824
PICALM	12.1780155	0.15438302	0.7216069	0.4726575642	0.58857148779	3.7546735	0.0002435652
BISPR	8.2946417	-0.29889989	-0.7214923	0.4727276185	0.58857148779	2.7657015	0.0043549853
TRAP1	10.4427142	0.11108826	0.7214344	0.472763014	0.58857148779	7.1755518	2.49e-08
ELMOD2	9.5685381	-0.23462841	-0.7214244	0.4727691793	0.58857148779	9.1364351	3e-10
CLEC16A	9.5916081	0.24656479	0.7212819	0.4728563256	0.5886334846	2.3463287	0.0146890421
SENP2	9.6223831	-0.19736013	-0.7212045	0.4729036627	0.58864591916	2.9873456	0.0022786449
EVC2	2.9264918	-0.33301073	-0.7209285	0.4730725467	0.58880963507	17.0166634	0
KLHL15	7.949358	0.27190694	0.7202953	0.4734600786	0.58920053861	13.4229775	0
ZNF181	7.8484205	0.24229292	0.7202931	0.4734613807	0.58920053861	4.2745153	5.48723e-05
SLC25A26	8.9154776	-0.15107	-0.7202298	0.473500162	0.58920227803	1.2993105	0.240449785
EFCAB6	3.1015601	0.39433539	0.7200611	0.4736034227	0.5892618301	3.2000591	0.0012232106
ZNF816.ZNF321P	6.6727291	0.25816203	0.7200295	0.4736227945	0.5892618301	5.5698985	1.5368e-06
RFC4	8.291531	-0.20876023	-0.7193931	0.4740125138	0.58970015231	4.6378207	1.97046e-05
DCAF7	11.7963588	-0.08669642	-0.7192509	0.4740996673	0.58976202498	18.4599305	0
NUP133	10.0671893	-0.21719488	-0.7190091	0.4742478073	0.5898997468	2.3833876	0.0132048653
TMEM37	8.2455978	0.41210929	0.7183453	0.4746546005	0.59035915071	11.8037776	0
PITHD1	9.7485503	-0.13857328	-0.7178977	0.4749290647	0.59064104171	5.0023452	7.1676e-06
FAM185A	6.3831556	-0.19466024	-0.7178207	0.4749762599	0.59064104171	14.8425118	0
HDHD3	8.4789484	-0.30546201	-0.7177923	0.4749936681	0.59064104171	1.8455484	0.0598722164
RALGAPA2	9.0318584	0.34229202	0.7176794	0.4750629327	0.59068056824	4.5170613	2.76474e-05
UFL1	10.3717473	-0.20869159	-0.7174509	0.4752030737	0.59080022457	5.4981282	1.8627e-06
ERP27	6.0076181	0.31444074	0.7174003	0.4752341379	0.59080022457	10.7944795	0
ASB9	3.3505302	-0.38509324	-0.7168521	0.4755704667	0.59117171112	7.4396719	1.31e-08
LCTL	5.4546482	-0.23639253	-0.7167458	0.4756356745	0.59120614077	2.8732168	0.0031813357
KIF13B	9.0602004	-0.28500299	-0.7166747	0.4756793232	0.59121376961	2.3604329	0.0141058748
NUPL2	9.5952326	0.22543847	0.716521	0.4757736443	0.59128437222	4.4643063	3.20739e-05
MYL9	5.6292097	-0.35477237	-0.71629	0.4759154721	0.59136979119	22.1117087	0
KDM3A	10.1699622	-0.27096633	-0.7162868	0.4759174184	0.59136979119	4.0482547	0.000104625
ZER1	10.434037	0.20714216	0.7157834	0.476226555	0.59167118669	2.6908706	0.0054169138
IPO13	9.8306931	-0.21042435	-0.7157696	0.4762350533	0.59167118669	1.6715299	0.0953408295
TBC1D3I	2.3805511	-0.21018546	-0.715198	0.4765861386	0.59203602167	7.1022078	2.99e-08
FRG1DP	2.730791	0.29263594	0.7151692	0.476603835	0.59203602167	0.7915932	0.6476742538
STARD3	10.9774026	-0.13393662	-0.7150311	0.4766887264	0.59209480779	2.2710409	0.0182233567
PMS2P5	3.1968266	0.31320399	0.7146752	0.4769074311	0.59231978102	1.2873659	0.2471739674
SLC19A2	6.9382906	-0.39169169	-0.7140167	0.477312287	0.59277590064	5.4591806	2.0682e-06
TATDN2	9.3465921	0.25069448	0.7139003	0.4773838264	0.59278746419	1.1684743	0.3222940881
MDM2	11.0932211	-0.18234431	-0.7138584	0.477409627	0.59278746419	6.7804825	6.66e-08
RIOK1	9.4107474	-0.1812007	-0.7138181	0.4774344312	0.59278746419	1.6782596	0.093670074
CCDC61	5.7755351	0.30879925	0.7136156	0.4775589727	0.59289538937	5.2107416	4.0518e-06
LZTR1	10.3042064	0.22401457	0.7127705	0.4780789237	0.59349416476	1.7376625	0.0800434266
RUBCNL	10.3548047	0.30678805	0.7125005	0.4782451265	0.59365373229	13.7876017	0
FAHD2A	7.9128568	0.13318498	0.7121684	0.4784496179	0.59386079919	6.7201392	7.75e-08
AGMAT	5.1675817	0.39474192	0.7119041	0.4786123706	0.59398269928	15.5794075	0
UHRF1BP1L	10.2386575	-0.21035088	-0.7118311	0.4786573356	0.59398269928	1.7144002	0.0851466091
C18orf54	6.0515118	-0.30382645	-0.7118253	0.4786608885	0.59398269928	13.0470657	0
SELENOW	10.9204828	-0.14444639	-0.7113418	0.4789587531	0.59430117503	9.0546721	3e-10
DQX1	2.7928173	-0.34522573	-0.7112661	0.4790053517	0.59430117503	5.7583316	9.305e-07
RAB5B	11.4420749	-0.12327334	-0.7112075	0.4790414715	0.59430117503	10.2610526	0
CCDC163	5.0564721	-0.43087128	-0.7111639	0.4790683604	0.59430117503	4.4461052	3.37627e-05
SNX14	11.1160876	-0.12810814	-0.710747	0.4793252886	0.59457310506	8.6303356	8e-10
SLC35B4	10.2821086	0.24877362	0.7106549	0.4793820343	0.59459669809	4.3596954	4.3099e-05
AES	10.0055849	0.21936694	0.7103453	0.4795728977	0.59478662578	13.0059229	0
SETDB1	9.9268856	0.21377983	0.7101372	0.4797012043	0.59489894416	1.3351707	0.2211364514
EBI3	10.4062766	-0.25624328	-0.7100174	0.4797750837	0.59494375249	40.3199935	0
ZNF304	8.0354365	0.31555806	0.7099129	0.4798395796	0.59497691869	5.5032363	1.8373e-06
HES4	3.2585963	0.49291215	0.7097986	0.4799100592	0.59499364546	9.183928	2e-10
NMT2	7.9587598	-0.20211401	-0.7097686	0.4799285715	0.59499364546	4.200737	6.76838e-05
LINC00921	5.8863594	0.29621985	0.709599	0.4800331505	0.59507648931	10.2589804	0
FAM122A	9.4931124	0.12446794	0.7094732	0.4801108081	0.59512594937	3.7766034	0.0002286053
LBH	8.1945695	0.35148747	0.7089606	0.4804270723	0.59537792091	4.6778801	1.76175e-05
NOP14.AS1	7.5595343	-0.20522268	-0.7089048	0.4804614998	0.59537792091	1.9392979	0.0463168761
RRNAD1	8.5199182	0.20801113	0.7088865	0.4804728343	0.59537792091	2.5905153	0.0072536288
ARL14EP	9.4144845	-0.12329655	-0.7088671	0.4804847934	0.59537792091	3.1739089	0.0013203876
LRG1	7.8321131	-0.40602748	-0.7088377	0.4805029601	0.59537792091	14.0798076	0
P2RY11	9.8823787	-0.17218188	-0.7085588	0.4806751081	0.59550040388	2.1664671	0.0245355528
DPM2	9.9854013	-0.15120253	-0.7085551	0.480677377	0.59550040388	2.6891081	0.0054448003
CDH23	7.5248372	-0.38377798	-0.7084101	0.4807668717	0.59556446323	3.3915053	0.0006994173
EML4	11.45	0.25134066	0.7082894	0.4808414373	0.59561001996	11.0090082	0
SLC4A9	1.7072884	0.23040016	0.7079467	0.4810530616	0.59582532836	6.276785	2.399e-07
LINC00909	8.6913433	0.24687416	0.7078438	0.4811166066	0.59583613855	1.9791405	0.0414848767
SLC25A38	9.1483947	0.14035573	0.7077546	0.4811716834	0.59583613855	5.3174077	3.0326e-06
PACERR	1.7058024	0.24341824	0.7077489	0.4811752028	0.59583613855	2.7846225	0.0041210006
CCDC93	10.100619	-0.21005775	-0.7076872	0.4812133181	0.59583652345	2.7299417	0.0048338343
MYLK2	4.9021096	0.55806	0.7074786	0.4813422034	0.59591722158	1.9879757	0.0404803461
LINC00854	7.4722822	-0.20146091	-0.7074593	0.4813541113	0.59591722158	10.0562108	0
UGGT1	10.6070121	-0.26451452	-0.7071576	0.4815405337	0.5961011901	3.9312095	0.0001463945
GINS4	6.6379894	-0.330222	-0.7070074	0.4816333531	0.5961692671	2.9973518	0.0022129201
TSPYL5	6.0041647	0.3774725	0.7068958	0.4817023684	0.59620787095	14.2447972	0
JOSD1	8.9367179	-0.23044781	-0.7067624	0.4817847658	0.59626303047	3.3744571	0.0007350687
TEN1.CDK3	9.3676673	0.12945437	0.7065487	0.4819169184	0.59637193794	3.9514855	0.0001381054
APOOP5	1.8218117	-0.18953771	-0.7064977	0.4819484407	0.59637193794	5.2931043	3.2391e-06
TMEM206	9.7034379	-0.26329962	-0.7059706	0.4822743666	0.59671014459	6.2721994	2.428e-07
TRIM6.TRIM34	9.7817968	-0.15266905	-0.7059332	0.4822974768	0.59671014459	3.3060207	0.0008975537
SLC5A5	2.0108026	0.42418113	0.7056717	0.4824592784	0.59686347622	3.5204485	0.0004804496
DSC1	1.8613726	0.25462423	0.7055881	0.4825109492	0.59688054868	1.1598124	0.3283565022
TONSL	6.9746949	0.26582434	0.7053837	0.4826374599	0.59699019031	13.7269972	0
FAM86C1	5.853756	-0.2640826	-0.7052088	0.4827456756	0.59707718692	5.8735099	6.864e-07
ABHD16B	5.3047989	0.31322719	0.7050876	0.4828206554	0.5971230657	5.3834519	2.5365e-06
LMBRD2	8.332808	-0.2656159	-0.7048347	0.4829771786	0.59726977726	11.153353	0
SLC30A9	10.6430925	-0.10147901	-0.7046932	0.4830647724	0.59733123153	7.7272925	6.6e-09
DOCK2	12.4973244	-0.17973826	-0.7045174	0.48317362	0.59741895547	2.5495927	0.0081685409
PDE4D	5.533131	-0.3164126	-0.7042596	0.4833332462	0.59753214885	17.4316398	0
GABPB1	9.2717091	-0.1313921	-0.7042471	0.4833409914	0.59753214885	2.1446455	0.0260975947
MYRF	4.0487806	0.31801165	0.7039998	0.4834941131	0.59767456597	14.0215068	0
CHAMP1	8.3138991	0.12715974	0.7037255	0.4836640144	0.59783770145	2.4706774	0.0102657592
MIER1	9.9923634	-0.12181834	-0.703514	0.4837950374	0.59795275919	3.8110243	0.0002069725
TTLL12	8.7947638	-0.14780335	-0.7033537	0.4838943905	0.598028659	16.3961985	0
ARRDC4	8.325907	-0.27207892	-0.703159	0.4840150289	0.59813085075	29.1897243	0
SPRED2	9.2245907	0.34248542	0.7027737	0.4842538534	0.59837906574	4.1246942	8.40778e-05
GPRIN3	9.958743	0.31409364	0.7022944	0.4845509592	0.59869925279	10.8082087	0
ZNF322	6.7893355	0.2871029	0.7019911	0.4847390863	0.59888474876	4.2824118	5.36556e-05
SOX6	5.1289934	0.24427553	0.7018617	0.4848193458	0.59893695792	3.6941924	0.0002901529
SMARCA5	11.5793773	-0.10934222	-0.7014794	0.48505651	0.59918298102	3.9816536	0.0001266421
ZNF335	9.6953089	0.24271268	0.7014115	0.4850986535	0.59918807824	0.6913099	0.7429508573
FBXL20	9.3717975	0.22467333	0.7007564	0.4855051907	0.59962617307	3.746198	0.0002496085
TMEM205	10.2523035	-0.15009327	-0.700685	0.485549559	0.59962617307	14.0522534	0
L3MBTL3	6.9974922	-0.28861614	-0.7006561	0.485567467	0.59962617307	5.7864349	8.638e-07
USP45	7.6050841	0.27191939	0.7004859	0.4856731204	0.59970965615	6.6618598	8.98e-08
SPR	7.2311104	0.2728732	0.7003236	0.4857739052	0.59977259141	10.1055387	0
NUFIP1	7.4405877	0.17163249	0.7002268	0.4858340155	0.59977259141	2.6535712	0.0060384377
MTERF1	8.4862131	-0.25225313	-0.70022	0.485838251	0.59977259141	1.8789929	0.0546564503
WWC2.AS2	3.6017172	0.2837698	0.699954	0.4860034613	0.59992955464	21.3213989	0
CTDSP1	10.0234932	-0.16958764	-0.6995757	0.4862384263	0.60017259281	20.0727249	0
VAMP5	6.8828412	-0.31674025	-0.6994106	0.4863410492	0.60025225347	19.9598444	0
BTRC	9.025146	-0.1888987	-0.69906	0.4865589131	0.60047412331	3.347899	0.0007942836
SMC2	9.4886879	-0.20890894	-0.698852	0.4866882064	0.60058665995	5.8124119	8.065e-07
MRPS27	10.2469367	-0.19925357	-0.6987093	0.486776913	0.60064909771	0.7936067	0.6457348457
GAPVD1	11.5127065	0.13474567	0.6986062	0.4868409818	0.60068112677	3.5319525	0.0004646417
MTFMT	8.6578854	-0.24925136	-0.6982347	0.4870719605	0.60091907396	3.3493843	0.0007908487
GLB1L	6.8450185	-0.3394379	-0.6980854	0.4871648403	0.60098661928	3.0637217	0.0018224322
FAM136A	10.088158	0.0958331	0.698005	0.4872148136	0.60100122703	2.6293459	0.0064794201
PUS7	7.4925112	-0.29546339	-0.6979136	0.4872716851	0.60102434098	14.0118216	0
LINC00563	2.1648728	-0.3766052	-0.6977189	0.4873928016	0.60112668796	3.6463628	0.0003332933
TNFRSF10D	9.6310383	0.33332977	0.6974028	0.4875894522	0.60132217184	13.0190532	0
UCK1	9.7544651	0.1494525	0.6972056	0.4877121582	0.60142643963	0.9019435	0.542433359
KNTC1	8.1481254	0.33384569	0.6971378	0.4877543632	0.60143142847	6.7971965	6.39e-08
TMEM50B	10.9047391	-0.10818847	-0.6969341	0.4878811306	0.60150187592	9.5594461	1e-10
BRPF1	9.8698402	0.21998232	0.6968801	0.4879147445	0.60150187592	1.4765934	0.1570011439
RGP1	8.2660498	-0.28047317	-0.6968621	0.4879259872	0.60150187592	1.6817264	0.0928198554
COLGALT2	4.9481574	0.44459218	0.6967002	0.4880267697	0.60153475099	3.4246659	0.0006349746
NEURL1	3.6726924	0.43832193	0.6966966	0.4880289868	0.60153475099	13.8205482	0
